NumEstacao,distance
1000169658,0.28
1000169666,0.28
1000169690,0.197135
1000169704,0.221585
1000309026,0.05
1000310830,0.19538
1000512824,0.28
1000514010,0.23995
1000552753,0.16038
1000562538,0.10640000000000001
1000564255,0.08920499999999999
1000567815,0.28
1000587220,0.23204
1000598664,0.28
1000604419,0.14745
1000606918,0.28
1000607213,0.20466499999999999
1000610524,0.28
1000616298,0.13605
1000618452,0.21346
1000623413,0.23382499999999998
1000807190,0.28
1000827817,0.162155
1000829429,0.05
1000960061,0.20505
1000962706,0.26813
1000962846,0.05915
1000968070,0.152995
1000968739,0.14261000000000001
1000969077,0.089885
1000969395,0.150075
1000969816,0.24624000000000001
1000969867,0.28
1001072585,0.206995
1001103081,0.12427500000000001
1001112854,0.19909000000000002
1001327079,0.210945
1001327117,0.240365
1001348211,0.15819999999999998
1001348459,0.261365
1001348700,0.100005
1001352502,0.28
1001381197,0.134495
1001968759,0.089885
1001968767,0.07257
1001968791,0.12104000000000001
1001968813,0.158705
1001968821,0.08469499999999999
1001977782,0.119375
1001977839,0.134115
1001977987,0.05
1001978002,0.063155
1001978010,0.19978
1001978029,0.118815
1001989730,0.28
1001991025,0.28
1001991076,0.26950999999999997
1001998100,0.08719
1002002475,0.28
1002002653,0.098115
1002012497,0.18354499999999999
1002020457,0.28
1002020481,0.191505
1002030541,0.063155
1002030860,0.28
1002033044,0.12255500000000001
1002033621,0.208435
1002093560,0.215565
1002093616,0.176165
1002095481,0.059415
1002098090,0.155435
1002098731,0.243035
1002099665,0.195515
1002134266,0.195085
1002135068,0.06308
1002154291,0.23256
1002154321,0.12791
1002154453,0.14587999999999998
1002154615,0.19885
1002155190,0.19047999999999998
1002155476,0.26418
1002155506,0.28
1002155875,0.12052500000000001
1002414137,0.0865
1002414234,0.06617
1002415427,0.28
1002416598,0.09744499999999999
1002421311,0.12975
1002439571,0.08535
1002453426,0.10780500000000001
1002457049,0.089825
1002486715,0.17087
1002497377,0.05
1002499248,0.23172
1002507496,0.07242
1002509596,0.08535
1002517106,0.28
1002518366,0.10780500000000001
1002541953,0.14451499999999998
1002542186,0.21497999999999998
1002543786,0.07687000000000001
1002543859,0.204225
1002544359,0.10583
1002592914,0.28
1002625197,0.261365
1002766521,0.144175
1002781938,0.160885
1002782063,0.129425
1002783183,0.18475999999999998
1002883994,0.2235
1002979274,0.28
1002984480,0.168215
1003171530,0.28
1003226725,0.28
1003524173,0.165435
1003583099,0.28
1003598720,0.28
1003601410,0.24
1003787107,0.10640000000000001
1003853703,0.188815
1003854408,0.28
1003885591,0.17498
1003945411,0.08031
1004054286,0.170775
1004054928,0.28
1004062599,0.14185
1004118187,0.23333
1004375600,0.28
1004408550,0.28
1004417451,0.227785
1004417460,0.28
1004421980,0.28
1004517596,0.28
1004599177,0.16802
1004619380,0.266805
1004619399,0.28
1004619461,0.075435
1004619470,0.193675
1004619500,0.28
1004619550,0.25632
1004837469,0.15819999999999998
1004882618,0.180005
1005046775,0.28
